,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
2021,0.5,0,1.3,2.2,2.7,2.7,2.9,3.3,4,5.4,5.5,6.5
2020,1.1,0.7,0,-0.7,-0.9,-0.3,-0.6,-0.5,-0.4,-0.8,-0.8,-0.5
2019,1,1.1,1.3,1.5,0.8,0.4,0.5,0.3,0.1,0.1,0.4,0.8
2018,0.6,1.1,1.2,1.1,2.1,2.3,2.2,2.2,2.3,2.3,1.7,1.2
2017,3,3,2.3,2.6,1.9,1.5,1.5,1.6,1.8,1.6,1.7,1.1
2016,-0.3,-0.8,-0.8,-1.1,-1,-0.8,-0.6,-0.1,0.2,0.7,0.7,1.6
2015,-1.3,-1.1,-0.7,-0.6,-0.2,0.1,0.1,-0.4,-0.9,-0.7,-0.3,0
2014,0.2,0,-0.1,0.4,0.2,0.1,-0.3,-0.5,-0.2,-0.1,-0.4,-1
2013,2.7,2.8,2.4,1.4,1.7,2.1,1.8,1.5,0.3,-0.1,0.2,0.3
2012,2,2,1.9,2.1,1.9,1.9,2.2,2.7,3.4,3.5,2.9,2.9
2011,3.3,3.6,3.6,3.8,3.5,3.2,3.1,3,3.1,3,2.9,2.4
2010,1,0.8,1.4,1.5,1.8,1.5,1.9,1.8,2.1,2.3,2.3,3
2009,0.8,0.7,-0.1,-0.2,-0.9,-1,-1.4,-0.8,-1,-0.7,0.3,0.8
2008,4.3,4.4,4.5,4.2,4.6,5,5.3,4.9,4.5,3.6,2.4,1.4
2007,2.4,2.4,2.5,2.4,2.3,2.4,2.2,2.2,2.7,3.6,4.1,4.2
2006,4.2,4,3.9,3.9,4,3.9,4,3.7,2.9,2.5,2.6,2.7
2005,3.1,3.3,3.4,3.5,3.1,3.1,3.3,3.3,3.7,3.5,3.4,3.7
2004,2.3,2.1,2.1,2.7,3.4,3.5,3.4,3.3,3.2,3.6,3.5,3.2
2003,3.7,3.8,3.7,3.1,2.7,2.7,2.8,3,2.9,2.6,2.8,2.6
2002,3.1,3.1,3.1,3.6,3.6,3.4,3.4,3.6,3.5,4,3.9,4
2001,3.7,3.8,3.9,4,4.2,4.2,3.9,3.7,3.4,3,2.7,2.7
2000,2.9,3,2.9,3,3.1,3.4,3.6,3.6,3.7,4,4.1,4
1999,1.5,1.8,2.2,2.4,2.2,2.2,2.2,2.4,2.5,2.5,2.7,2.9
1998,2,1.8,1.8,2,2,2.1,2.2,2.1,1.6,1.7,1.4,1.4
1997,2.9,2.5,2.2,1.7,1.5,1.6,1.6,1.8,2,1.9,2,2
1996,3.9,3.7,3.4,3.5,3.8,3.6,3.7,3.7,3.6,3.5,3.2,3.2
